gender,age,marital_status,highest_qualification,nationality,ethnicity,gross_income,region,smoke,amt_weekends,amt_weekdays,type
Female,38.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,79.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,58.0,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,25.0,20.0,Packets
Female,69.0,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,83.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,73.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,42.0,Married,GCSE/O Level,British,White,Refused,The North,Yes,40.0,15.0,Packets
Female,31.0,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15.0,15.0,Both/Mainly Packets
Male,26.0,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,27.0,Separated,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,30.0,Married,ONC/BTEC,English,White,"2,600 to 5,200",The North,No,,,
Female,22.0,Single,A Levels,English,White,"5,200 to 10,400",The North,No,,,
Female,78.0,Widowed,No Qualification,English,White,"Under 2,600",The North,Yes,20.0,20.0,Packets
Female,49.0,Married,ONC/BTEC,English,Mixed,"15,600 to 20,800",The North,No,,,
Male,74.0,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,,Widowed,Degree,Scottish,White,"20,800 to 28,600",The North,No,,,
Male,75.0,Married,Other/Sub Degree,English,White,Refused,The North,No,,,
Female,80.0,Widowed,GCSE/O Level,British,White,,The North,No,,,
Female,37.0,Married,Degree,British,White,"Under 2,600",The North,No,,,
Female,33.0,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
Male,41.0,Divorced,A Levels,English,White,"15,600 to 20,800",The North,No,,,
Female,81.0,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,76.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,Yes,6.0,6.0,Packets
Female,58.0,Married,A Levels,British,White,"10,400 to 15,600",The North,No,,,
Male,59.0,Married,Other/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25.0,25.0,Packets
Female,40.0,Divorced,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,4.0,4.0,Packets
Female,,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Male,49.0,Married,Degree,Scottish,White,"Above 36,400",The North,No,,,
Female,79.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,28.0,Married,Other/Sub Degree,British,White,"20,800 to 28,600",The North,Yes,20.0,20.0,Packets
Male,,Married,Other/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,42.0,Single,GCSE/CSE,British,White,"10,400 to 15,600",The North,No,,,
Female,36.0,Single,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
Male,89.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,64.0,Married,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,76.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,61.0,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,81.0,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,20.0,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,10.0,Packets
Female,82.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,23.0,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,20.0,10.0,Packets
Male,41.0,Married,GCSE/O Level,English,White,"Above 36,400",The North,No,,,
Female,31.0,Single,A Levels,British,White,"15,600 to 20,800",The North,No,,,
Female,44.0,Married,A Levels,English,White,"20,800 to 28,600",The North,Yes,5.0,0.0,Packets
Female,42.0,Married,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Male,67.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Male,53.0,Married,Degree,English,White,,The North,No,,,
Male,76.0,Married,No Qualification,English,Black,"10,400 to 15,600",The North,No,,,
Male,40.0,Married,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,30.0,30.0,Hand-Rolled
Male,44.0,Married,A Levels,British,White,"15,600 to 20,800",The North,No,,,
Female,31.0,Separated,GCSE/O Level,British,White,"15,600 to 20,800",The North,Yes,20.0,20.0,Packets
Male,,Divorced,Other/Sub Degree,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Hand-Rolled
Female,36.0,Separated,A Levels,British,White,"10,400 to 15,600",The North,No,,,
Female,34.0,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,18.0,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,10.0,3.0,Packets
Male,56.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,73.0,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Female,22.0,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Packets
Female,33.0,Single,GCSE/CSE,English,White,"15,600 to 20,800",The North,No,,,
Male,27.0,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,Yes,10.0,0.0,Packets
Female,33.0,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,63.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,64.0,Married,A Levels,British,White,"2,600 to 5,200",The North,No,,,
Male,54.0,Married,Degree,British,White,"Above 36,400",The North,No,,,
Female,,Married,Degree,English,White,"Under 2,600",The North,No,,,
Male,78.0,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Female,54.0,Married,No Qualification,British,White,,The North,No,,,
Male,,Separated,GCSE/CSE,English,White,"28,600 to 36,400",The North,No,,,
Male,78.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,37.0,Married,A Levels,British,White,"5,200 to 10,400",The North,No,,,
Male,54.0,Married,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,40.0,Married,GCSE/O Level,British,White,"20,800 to 28,600",The North,Yes,15.0,15.0,Hand-Rolled
Female,64.0,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,42.0,Married,GCSE/O Level,Other,White,,The North,No,,,
Female,34.0,Married,Higher/Sub Degree,British,White,,The North,No,,,
Female,64.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,50.0,Divorced,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,31.0,Married,ONC/BTEC,English,White,,The North,No,,,
Female,37.0,Married,Degree,English,White,"Above 36,400",The North,No,,,
Male,81.0,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Male,57.0,Separated,No Qualification,Welsh,White,"5,200 to 10,400",The North,Yes,10.0,10.0,Hand-Rolled
Female,,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,66.0,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,57.0,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Female,78.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,49.0,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,62.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,17.0,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,36.0,Single,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,31.0,Single,No Qualification,English,White,Refused,The North,Yes,7.0,7.0,Packets
Female,61.0,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,25.0,25.0,Packets
Male,71.0,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,Yes,40.0,40.0,Packets
Female,75.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,12.0,12.0,Packets
Female,43.0,Married,Higher/Sub Degree,English,White,"Above 36,400",The North,No,,,
Female,68.0,Widowed,No Qualification,English,White,Refused,The North,No,,,
Female,65.0,Widowed,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,85.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,35.0,Separated,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Both/Mainly Hand-Rolled
Female,52.0,Married,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,28.0,Single,ONC/BTEC,English,White,"5,200 to 10,400",The North,Yes,15.0,15.0,Packets
Male,52.0,Single,ONC/BTEC,English,White,"20,800 to 28,600",The North,No,,,
Male,67.0,Widowed,No Qualification,Irish,White,"5,200 to 10,400",The North,Yes,25.0,25.0,Hand-Rolled
Female,35.0,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,30.0,30.0,Both/Mainly Hand-Rolled
Female,68.0,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,34.0,Married,Higher/Sub Degree,Other,White,,The North,No,,,
Female,57.0,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,12.0,Hand-Rolled
Male,37.0,Married,Higher/Sub Degree,English,White,"15,600 to 20,800",The North,Yes,8.0,8.0,Hand-Rolled
Female,37.0,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,Yes,15.0,15.0,Packets
Male,43.0,Divorced,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15.0,15.0,Packets
Male,59.0,Widowed,GCSE/O Level,British,White,"2,600 to 5,200",The North,No,,,
Female,28.0,Single,Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Female,60.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,,Single,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
Male,37.0,Single,No Qualification,British,White,"2,600 to 5,200",The North,Yes,40.0,40.0,Hand-Rolled
Male,34.0,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Female,73.0,Married,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Male,24.0,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,36.0,Single,Higher/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Male,39.0,Separated,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Both/Mainly Packets
Female,74.0,Married,No Qualification,English,White,Refused,The North,No,,,
Female,32.0,Married,GCSE/CSE,English,White,"Under 2,600",The North,Yes,15.0,15.0,Packets
Female,30.0,Married,Degree,Other,White,"15,600 to 20,800",The North,No,,,
Female,,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Female,49.0,Married,No Qualification,Refused,Refused,Refused,The North,No,,,
Female,47.0,Married,Higher/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Male,30.0,Single,Higher/Sub Degree,British,White,"10,400 to 15,600",The North,Yes,30.0,30.0,Hand-Rolled
Male,60.0,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15.0,8.0,Hand-Rolled
Male,72.0,Single,Other/Sub Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,73.0,Married,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,48.0,Widowed,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,20.0,4.0,Packets
Male,53.0,Divorced,Degree,English,White,"Above 36,400",The North,No,,,
Male,17.0,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Female,58.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,34.0,Married,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
Male,44.0,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,23.0,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
Male,30.0,Married,Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,61.0,Widowed,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,38.0,Separated,A Levels,British,White,"10,400 to 15,600",The North,Yes,9.0,9.0,Hand-Rolled
Male,30.0,Single,Degree,British,White,"10,400 to 15,600",The North,No,,,
Female,44.0,Married,A Levels,English,White,"15,600 to 20,800",The North,No,,,
Male,91.0,Widowed,No Qualification,English,White,"Under 2,600",The North,No,,,
Male,40.0,Divorced,GCSE/O Level,British,White,"Above 36,400",The North,No,,,
Female,63.0,Married,Degree,British,White,"2,600 to 5,200",The North,No,,,
Female,61.0,Divorced,No Qualification,British,White,"2,600 to 5,200",The North,Yes,30.0,30.0,Packets
Female,40.0,Married,Higher/Sub Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,57.0,Married,No Qualification,British,White,"Under 2,600",The North,Yes,15.0,15.0,Both/Mainly Packets
Female,41.0,Married,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,32.0,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,7.0,5.0,Hand-Rolled
Male,76.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,35.0,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,2.0,2.0,Packets
Male,70.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,75.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,74.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Male,49.0,Married,Degree,British,White,"Above 36,400",The North,No,,,
Female,56.0,Married,GCSE/O Level,British,White,"Under 2,600",The North,No,,,
Male,60.0,Married,Degree,English,White,"15,600 to 20,800",The North,No,,,
Female,72.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,23.0,Single,Degree,English,White,"20,800 to 28,600",The North,No,,,
Male,,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,65.0,Separated,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,57.0,Married,Degree,English,White,"5,200 to 10,400",The North,No,,,
Female,37.0,Married,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Male,79.0,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,71.0,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,87.0,Widowed,No Qualification,Refused,Refused,Unknown,The North,No,,,
Male,59.0,Married,Degree,English,White,"28,600 to 36,400",The North,Yes,40.0,40.0,Packets
Male,21.0,Single,ONC/BTEC,English,White,"10,400 to 15,600",The North,Yes,20.0,8.0,Packets
Female,66.0,Married,No Qualification,English,White,,The North,No,,,
Male,58.0,Married,Higher/Sub Degree,Welsh,White,"28,600 to 36,400",The North,No,,,
Male,38.0,Married,GCSE/O Level,English,White,"Above 36,400",The North,Yes,30.0,15.0,Both/Mainly Packets
Male,,Widowed,Other/Sub Degree,Scottish,White,"15,600 to 20,800",The North,No,,,
Male,37.0,Separated,Degree,English,White,"Above 36,400",The North,No,,,
Female,38.0,Married,GCSE/O Level,English,White,,The North,No,,,
Male,34.0,Married,Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,34.0,Married,Higher/Sub Degree,British,White,,The North,No,,,
Female,20.0,Single,GCSE/O Level,English,White,,The North,No,,,
Female,77.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,20.0,20.0,Packets
Female,31.0,Single,GCSE/O Level,English,White,"2,600 to 5,200",The North,Yes,20.0,15.0,Hand-Rolled
Male,28.0,Single,No Qualification,English,White,"2,600 to 5,200",The North,Yes,2.0,2.0,Packets
Female,36.0,Married,GCSE/CSE,British,White,"5,200 to 10,400",The North,No,,,
Female,16.0,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,Yes,12.0,12.0,Packets
Male,,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,47.0,Married,Higher/Sub Degree,English,White,"Under 2,600",The North,No,,,
Male,,Married,GCSE/CSE,British,White,"28,600 to 36,400",The North,No,,,
Female,67.0,Widowed,No Qualification,British,White,"2,600 to 5,200",The North,No,,,
Female,72.0,Single,No Qualification,English,White,,The North,No,,,
Male,40.0,Divorced,GCSE/O Level,English,White,"10,400 to 15,600",The North,Yes,25.0,30.0,Packets
Female,,Single,Degree,English,White,"Above 36,400",The North,No,,,
Male,75.0,Married,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Female,35.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,40.0,Separated,No Qualification,British,White,"5,200 to 10,400",The North,Yes,10.0,10.0,Packets
Female,46.0,Married,No Qualification,British,White,"15,600 to 20,800",The North,No,,,
Male,23.0,Married,GCSE/O Level,English,White,,The North,No,,,
Male,42.0,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Male,63.0,Married,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,33.0,Married,A Levels,British,White,"5,200 to 10,400",The North,No,,,
Female,31.0,Married,GCSE/O Level,English,White,"15,600 to 20,800",The North,No,,,
Male,54.0,Single,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,33.0,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
Female,24.0,Single,Degree,English,White,"15,600 to 20,800",The North,Yes,12.0,8.0,Hand-Rolled
Female,80.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,77.0,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Male,51.0,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,16.0,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Male,27.0,Single,ONC/BTEC,English,White,Refused,The North,Yes,15.0,15.0,Packets
Female,,Single,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,24.0,Single,Degree,Other,White,"5,200 to 10,400",The North,No,,,
Male,78.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,Yes,50.0,50.0,Both/Mainly Packets
Female,20.0,Single,GCSE/O Level,British,White,"5,200 to 10,400",The North,No,,,
Male,18.0,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,No,,,
Female,25.0,Separated,ONC/BTEC,English,White,"10,400 to 15,600",The North,No,,,
Female,,Separated,No Qualification,English,Mixed,"5,200 to 10,400",The North,Yes,10.0,7.0,Both/Mainly Hand-Rolled
Female,29.0,Married,Higher/Sub Degree,English,White,"10,400 to 15,600",The North,Yes,10.0,5.0,Packets
Female,67.0,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,79.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,44.0,Single,No Qualification,British,White,"20,800 to 28,600",The North,No,,,
Male,47.0,Married,Degree,British,White,"20,800 to 28,600",The North,No,,,
Female,41.0,Divorced,GCSE/O Level,British,White,"10,400 to 15,600",The North,No,,,
Female,31.0,Married,GCSE/O Level,British,White,"10,400 to 15,600",The North,Yes,5.0,0.0,Packets
Male,32.0,Married,Other/Sub Degree,Scottish,White,"10,400 to 15,600",The North,No,,,
Female,68.0,Widowed,No Qualification,English,White,Refused,The North,No,,,
Female,,Widowed,No Qualification,British,White,"Under 2,600",The North,No,,,
Male,67.0,Married,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,49.0,Married,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Male,69.0,Married,No Qualification,English,White,"5,200 to 10,400",The North,Yes,6.0,8.0,Hand-Rolled
Male,64.0,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,Yes,16.0,18.0,Packets
Male,62.0,Married,No Qualification,English,White,"20,800 to 28,600",The North,No,,,
Male,52.0,Divorced,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Male,45.0,Married,ONC/BTEC,English,White,,The North,No,,,
Female,28.0,Divorced,No Qualification,English,White,"10,400 to 15,600",The North,Yes,15.0,15.0,Packets
Female,36.0,Single,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,73.0,Divorced,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,48.0,Widowed,No Qualification,English,White,"10,400 to 15,600",The North,No,,,
Male,67.0,Widowed,No Qualification,British,White,"10,400 to 15,600",The North,Yes,10.0,10.0,Both/Mainly Hand-Rolled
Female,38.0,Divorced,GCSE/O Level,British,White,"20,800 to 28,600",The North,No,,,
Female,40.0,Divorced,GCSE/CSE,English,White,"10,400 to 15,600",The North,Yes,5.0,0.0,Packets
Male,43.0,Single,Other/Sub Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,30.0,Single,Degree,English,White,"10,400 to 15,600",The North,No,,,
Female,70.0,Widowed,No Qualification,British,White,"5,200 to 10,400",The North,No,,,
Female,82.0,Widowed,No Qualification,British,White,,The North,No,,,
Female,78.0,Widowed,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Male,21.0,Single,GCSE/O Level,English,White,"Under 2,600",The North,Yes,20.0,10.0,Packets
Male,,Widowed,No Qualification,English,White,"15,600 to 20,800",The North,No,,,
Male,16.0,Single,GCSE/O Level,English,White,Refused,The North,No,,,
Female,21.0,Single,GCSE/CSE,English,White,"5,200 to 10,400",The North,Yes,40.0,15.0,Packets
Male,68.0,Separated,No Qualification,English,White,"5,200 to 10,400",The North,Yes,8.0,8.0,Packets
Male,41.0,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,20.0,10.0,Packets
Male,33.0,Single,GCSE/O Level,British,White,"15,600 to 20,800",The North,No,,,
Female,28.0,Married,No Qualification,British,White,"Under 2,600",The North,No,,,
Female,75.0,Married,No Qualification,British,White,"2,600 to 5,200",The North,Yes,5.0,5.0,Packets
Female,21.0,Single,Other/Sub Degree,English,White,"5,200 to 10,400",The North,Yes,5.0,10.0,Packets
Female,69.0,Divorced,GCSE/CSE,English,White,"2,600 to 5,200",The North,No,,,
Female,38.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Female,33.0,Single,GCSE/O Level,English,White,"5,200 to 10,400",The North,Yes,10.0,4.0,Packets
Female,,Married,No Qualification,English,White,"5,200 to 10,400",The North,No,,,
Female,44.0,Single,GCSE/CSE,English,White,"2,600 to 5,200",The North,Yes,35.0,35.0,Hand-Rolled
Female,74.0,Married,No Qualification,English,White,"Under 2,600",The North,No,,,
Female,29.0,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Female,23.0,Married,A Levels,Other,Asian,,The North,No,,,
Female,72.0,Widowed,No Qualification,English,White,"2,600 to 5,200",The North,No,,,
Female,31.0,Widowed,No Qualification,English,Asian,"5,200 to 10,400",The North,Yes,10.0,8.0,Packets
Female,48.0,Married,No Qualification,British,Asian,"Under 2,600",The North,No,,,
Female,29.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,72.0,Married,Other/Sub Degree,English,Black,"5,200 to 10,400",The North,No,,,
Female,52.0,Married,No Qualification,English,White,Unknown,The North,No,,,
Female,68.0,Single,Degree,English,White,"5,200 to 10,400",The North,No,,,
Male,48.0,Married,Other/Sub Degree,British,Chinese,"15,600 to 20,800",The North,Yes,40.0,40.0,Both/Mainly Packets
Female,55.0,Married,GCSE/O Level,English,White,"10,400 to 15,600",The North,No,,,
Female,23.0,Married,ONC/BTEC,British,White,"10,400 to 15,600",The North,Yes,7.0,7.0,Packets
Female,66.0,Widowed,No Qualification,British,White,,The North,No,,,
Female,33.0,Single,ONC/BTEC,British,White,"15,600 to 20,800",The North,No,,,
Female,37.0,Married,GCSE/CSE,British,White,"Under 2,600",The North,Yes,10.0,10.0,Packets
Male,42.0,Married,Degree,English,White,"20,800 to 28,600",The North,No,,,
Female,46.0,Married,No Qualification,British,White,"10,400 to 15,600",The North,Yes,20.0,20.0,Hand-Rolled
Male,57.0,Married,Other/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,36.0,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Female,51.0,Married,GCSE/O Level,Scottish,White,"20,800 to 28,600",The North,No,,,
Female,18.0,Single,GCSE/O Level,British,White,Refused,The North,Yes,8.0,8.0,Hand-Rolled
Female,69.0,Married,GCSE/O Level,English,White,"Under 2,600",The North,No,,,
Male,30.0,Single,Degree,English,White,"15,600 to 20,800",The North,No,,,
Male,51.0,Married,Higher/Sub Degree,English,White,"28,600 to 36,400",The North,No,,,
Female,63.0,Married,No Qualification,British,Asian,"5,200 to 10,400",The North,No,,,
Female,31.0,Single,Degree,English,White,"28,600 to 36,400",The North,No,,,
Male,58.0,Single,No Qualification,British,White,"10,400 to 15,600",The North,No,,,
Male,50.0,Married,GCSE/CSE,English,White,"20,800 to 28,600",The North,Yes,15.0,15.0,Packets
Female,67.0,Divorced,No Qualification,English,White,"2,600 to 5,200",The North,Yes,20.0,20.0,Hand-Rolled
Male,,Single,A Levels,English,White,Refused,The North,No,,,
Female,,Single,Degree,British,White,"15,600 to 20,800",The North,No,,,
Female,26.0,Married,GCSE/O Level,English,White,"5,200 to 10,400",The North,No,,,
Male,30.0,Single,Degree,British,White,"28,600 to 36,400",The North,No,,,
Female,43.0,Married,Degree,Other,White,Refused,The North,No,,,
Male,73.0,Widowed,Other/Sub Degree,English,White,"2,600 to 5,200",The North,No,,,
Female,52.0,Married,Higher/Sub Degree,British,White,"Under 2,600",The North,No,,,
Male,18.0,Single,No Qualification,British,White,"10,400 to 15,600",The North,Yes,15.0,10.0,Both/Mainly Hand-Rolled
Male,52.0,Married,No Qualification,English,White,"28,600 to 36,400",The North,No,,,
